"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Brunei Darussalam","BRN","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14450109617.4131","15408743061.3974","16509841818.3488","16952657548.7417","17859283753.2782","19050412632.8206","19957590746.6769","20003072179.7589","20115237016.8534","21021308134.4865","22110111947.6952","23228621563.6443","24504099645.9353","25713344431.5388","26536753668.7613","27474956035.5065","29568272358.0279","30569261041.0941","30511462552.2694","30197283909.5026","30974245587.3837","32155106321.3359","34364760477.9712","33509559006.4759","33313972350.9287","27254603848.3947","25364170400.1577","27428959648.7296","26687321434.3087","28794177323.8","29567026070.4238","29607524054.1664",
"Bhutan","BTN","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","773350842.862038","774838808.38838","803453469.926673","849601503.98936","939789517.844989","971463329.19391","1058982884.74742","1169489853.71472","1162209574.98988","1235937294.74386","1589927585.5609","1762634327.88887","1957203720.76888","2135804771.00151","2323562814.96964","2594467186.74377","2892085371.89878","3478276275.88909","3665857270.56694","3884550684.18488","4328107577.62162","4733983718.26042","5108157657.00653","5275721526.07621","5790544513.85152","6422593662.27931","7042038049.76","7585887017.97289","7976936055.77024","8581822998.72905","8065882369.83251","8745866639.964",
"Botswana","BWA","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7577212782.94544","8814612379.5363","9384742853.35236","10223298675.7009","9524163331.50826","10934063914.4383","11221704666.075","12684429804.6423","13629984860.3103","14036251894.1295","14430211953.8751","15383375327.1174","14735636414.2249","16348379471.6446","17004818770.1379","18832501287.1281","21744475069.9162","24170374930.5855","25027472580.41","22578442135.6735","24386500118.4716","27514826801.0026","26751802962.0844","28413051384.9093","31809191936.547","30008539556.4783","32863010564.2784","32179517469.0234","33802099451.577","37318807967.978","35775618276.2022","39909918090.2374",
"Central African Republic","CAF","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1753798093.51936","1810181050.71478","1733778348.50678","1774224516.18066","1882006917.76946","2071657637.44317","2020888399.08111","2173825782.75987","2295577148.14015","2439314538.09715","2417424124.70628","2597681143.9089","2731476980.17601","2652892908.95483","2863010680.63613","2989349235.06357","3227924998.25856","3473342637.81441","3593675341.58467","3961831385.66895","4225957538.35488","4492422406.61788","4910903587.89207","3314143517.70327","3249088436.38074","3580087008.65921","3910067806.77701","4409011233.54022","4791013840.37115","5025639523.09843","5044773071.52368","5363599634.47756",
"Canada","CAN","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","731982858070.991","766978272536.716","817932331774.171","877363047705.317","911387800049.817","946440061399.149","998506176807.967","1060259016664.75","1147390008931.78","1221860598242.03","1282434850618.64","1322673547258.16","1284496325205.2","1336628963349.76","1403781260484.68","1442044757903.5","1530453431372.55","1595196682591.57","1570419104485.27","1657591887626.39","1743306959310.54","1821483037220.98","1829899739101.9","1751691789982.03","1976965299513.35",
"Central Europe and the Baltics","CEB","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","720399411187.49","754096834026.997","804764739845.326","867695754871.509","910369538258.589","938743357157.608","979053831798.057","1008349153900.78","1069730495165.51","1145527436322.65","1224503359500.28","1284816195575.46","1382699722132.88","1473778446623.43","1623251108827.02","1783813423717.08","1996184984603.04","2003439598842.86","2101005701870.98","2236498660952.41","2318519659754.05","2398100471514.31","2499059149436.58","2604760803867.02","2760800400750.06","2961065711725.3","3168747786040.64","3346328340587.81","3376217320200.82","3660537881793.47",
"Switzerland","CHE","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","221983134605.841","228458325892.301","241954529799.191","252038236167.979","261917507194.221","280872428498.838","284053809073.767","289535805610.144","302917247000.29","315697831193.411","335290413317.617","372634476197.862","388242426240.037","386654931619.793","419924213400.523","452746823122.078","462931080402.262","488946133588.17","513139410443.002","525827409322.019","553535819250.551","567869043498.807","576143366399.321","585743461088.877","595506035578.954","597423677480.204","659800039810.176",
"Channel Islands","CHI","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56612436959.4221","63273186067.0131","73802860823.2511","82250679449.2294","88749926444.0889","101551447480.093","113736732831.59","124757742870.525","132186039925.64","132740816648.504","141924707814.1","150631858178.149","156882017088.665","164965904665.452","174970994402.125","188981195876.113","228711518848.63","251050128190.79","254057986121.614","252743553342.144","287919841661.65","318741871183.897","353816711374.161","375186612626.904","385025200182.301","395546267627.688","413012764323.289","433363834230.272","458498081292.87","461944467763.199","449443932455.415","526676509334.371",
"China","CHN","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1117071251659.28","1261011339984.44","1470961206174.81","1710476276895.51","1975226688156.71","2205730226797.79","2473080099337.36","2756340466936.9","2991673160464.2","3276058391722.03","3638846981050.03","4021977815026.99","4476515568212.06","5043427337573.67","5722835292878.38","6545682659326.15","7645686952977.07","9006909238726.68","10105251737436.7","11038634381856.5","12327139534887.8","13715341860797.1","15089408821877.8","16053445265526.1","17143013848523","17711827416505","18619312059440.4","19860975136056.2","21641064090587.4","23376229727328.4","24061577732994","27063466631541.7",
